unique_housing_id,hid,geo,unique_id_in_geo,sample_geo,hhtotals,hinc,hsize,hhrtotals,rhinc,rhsize,entity,gqrtotals,gqtotals
0,1000113,4013010101,1,107,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
1,1000160,4013010101,2,500,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
2,1000338,4013010101,3,102,1.0,4.0,1.0,1.0,4.0,1.0,household,0.0,0.0
3,1000454,4013010101,4,204,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
4,1000477,4013010101,5,112,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
5,1000539,4013010101,6,202,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
6,1000586,4013010101,7,128,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
7,1000629,4013010101,8,205,1.0,3.0,5.0,1.0,3.0,5.0,household,0.0,0.0
8,1000661,4013010101,9,122,1.0,2.0,1.0,1.0,2.0,1.0,household,0.0,0.0
9,1000737,4013010101,10,124,1.0,3.0,4.0,1.0,3.0,4.0,household,0.0,0.0
10,1000738,4013010101,11,114,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
11,1000738,4013010101,12,114,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
12,1000743,4013010101,13,300,1.0,2.0,6.0,1.0,2.0,6.0,household,0.0,0.0
13,1000897,4013010101,14,807,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
14,1000951,4013010101,15,129,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
15,1001064,4013010101,16,300,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
16,1001067,4013010101,17,207,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
17,1001077,4013010101,18,800,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
18,1001232,4013010101,19,109,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
19,1001290,4013010101,20,300,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
20,1001304,4013010101,21,117,1.0,4.0,5.0,1.0,4.0,5.0,household,0.0,0.0
21,1001337,4013010101,22,105,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
22,1001358,4013010101,23,203,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
23,1001374,4013010101,24,204,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
24,1001457,4013010101,25,204,1.0,5.0,1.0,1.0,5.0,1.0,household,0.0,0.0
25,1001527,4013010101,26,700,1.0,4.0,6.0,1.0,4.0,6.0,household,0.0,0.0
26,1001731,4013010101,27,700,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
27,1001934,4013010101,28,803,1.0,4.0,2.0,1.0,4.0,2.0,household,0.0,0.0
28,1001960,4013010101,29,205,1.0,5.0,1.0,1.0,5.0,1.0,household,0.0,0.0
29,1002024,4013010101,30,116,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
30,1002149,4013010101,31,208,1.0,3.0,5.0,1.0,3.0,5.0,household,0.0,0.0
31,1002255,4013010101,32,205,1.0,3.0,2.0,1.0,3.0,2.0,household,0.0,0.0
32,1002305,4013010101,33,108,1.0,5.0,1.0,1.0,5.0,1.0,household,0.0,0.0
33,1002382,4013010101,34,803,1.0,2.0,2.0,1.0,2.0,2.0,household,0.0,0.0
34,1002458,4013010101,35,400,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
35,1002627,4013010101,36,114,1.0,3.0,1.0,1.0,3.0,1.0,household,0.0,0.0
36,1002665,4013010101,37,108,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
37,1002701,4013010101,38,106,1.0,5.0,2.0,1.0,5.0,2.0,household,0.0,0.0
