unique_person_id,hid,geo,unique_id_in_geo,pid,sample_geo,ptotals,empl,page,psex,rptotals,rempl,rpage,rpsex,entity
0,1000113,4013010101,1,1,107,1,1,7,2,1,1,7,2,person
1,1000113,4013010101,1,2,107,1,1,3,2,1,1,3,2,person
2,1000160,4013010101,2,1,500,1,3,8,2,1,3,8,2,person
3,1000160,4013010101,2,2,500,1,3,9,1,1,3,9,1,person
4,1000338,4013010101,3,1,102,1,1,6,1,1,1,6,1,person
5,1000454,4013010101,4,1,204,1,1,8,2,1,1,8,2,person
6,1000454,4013010101,4,2,204,1,3,10,1,1,3,10,1,person
7,1000477,4013010101,5,1,112,1,1,9,1,1,1,9,1,person
8,1000477,4013010101,5,2,112,1,3,10,2,1,3,10,2,person
9,1000539,4013010101,6,1,202,1,3,9,1,1,3,9,1,person
10,1000539,4013010101,6,2,202,1,3,8,2,1,3,8,2,person
11,1000586,4013010101,7,1,128,1,3,9,2,1,3,9,2,person
12,1000586,4013010101,7,2,128,1,1,8,2,1,1,8,2,person
13,1000629,4013010101,8,1,205,1,1,6,1,1,1,6,1,person
14,1000629,4013010101,8,2,205,1,3,5,2,1,3,5,2,person
15,1000629,4013010101,8,3,205,1,4,1,1,1,4,1,1,person
16,1000629,4013010101,8,4,205,1,3,10,1,1,3,10,1,person
17,1000629,4013010101,8,5,205,1,3,10,2,1,3,10,2,person
18,1000661,4013010101,9,1,122,1,3,10,2,1,3,10,2,person
19,1000737,4013010101,10,1,124,1,1,6,2,1,1,6,2,person
20,1000737,4013010101,10,2,124,1,3,3,1,1,3,3,1,person
21,1000737,4013010101,10,3,124,1,3,3,1,1,3,3,1,person
22,1000737,4013010101,10,4,124,1,3,9,2,1,3,9,2,person
23,1000738,4013010101,11,1,114,1,1,7,2,1,1,7,2,person
24,1000738,4013010101,11,2,114,1,1,7,2,1,1,7,2,person
25,1000738,4013010101,12,1,114,1,1,7,2,1,1,7,2,person
26,1000738,4013010101,12,2,114,1,1,7,2,1,1,7,2,person
27,1000743,4013010101,13,1,300,1,3,6,2,1,3,6,2,person
28,1000743,4013010101,13,2,300,1,3,7,1,1,3,7,1,person
29,1000743,4013010101,13,3,300,1,3,3,1,1,3,3,1,person
30,1000743,4013010101,13,4,300,1,3,3,1,1,3,3,1,person
31,1000743,4013010101,13,5,300,1,4,2,1,1,4,2,1,person
32,1000743,4013010101,13,6,300,1,4,2,1,1,4,2,1,person
