variable_names,gqtotals
variable_categories,1
geo,
4013010101,0
4013010102,11
4013030401,51
4013030402,0
4013040502,116
4013040506,0
4013040507,218
4013040512,0
4013040513,0
4013040514,0
4013040515,485
4013040516,0
4013040517,0
4013040518,31
4013040519,0
4013040520,0
4013040521,0
4013040522,0
4013040523,0
4013040524,0
4013040525,0
4013040526,0
4013040527,21
4013040528,0
4013040529,0
4013040530,23
4013040531,4
4013050603,1
4013050604,0
4013050605,0
4013050606,9
4013050607,0
4013050608,0
4013050609,0
4013050610,13
4013050611,0
4013050701,0
4013050702,14
4013060801,53
4013060802,0
4013060901,0
4013060902,0
4013060903,0
4013060904,0
4013061009,32
4013061010,0
4013061011,5
4013061012,181
4013061013,0
4013061014,0
4013061015,0
4013061016,0
4013061017,3389
4013061018,0
4013061019,0
4013061020,5
4013061021,0
4013061022,0
4013061023,0
4013061024,163
4013061025,5
4013061026,38
4013061027,0
4013061028,10
4013061029,22
4013061030,21
4013061031,0
4013061032,0
4013061033,15
4013061034,37
4013061035,29
4013061036,7
4013061037,20
4013061038,9
4013061039,26
4013061040,0
4013061041,0
4013061042,0
4013061043,11
4013061044,0
4013061045,39
4013061046,0
4013061047,14
4013061100,743
4013061200,145
4013061300,0
4013061401,0
4013061402,0
4013071503,124
4013071504,0
4013071505,45
4013071506,0
4013071509,39
4013071510,37
4013071511,12
4013071512,16
4013071513,11
4013071514,40
4013071515,61
4013071516,205
4013071517,27
4013071600,88
4013071701,114
4013071702,0
4013071801,217
4013071802,0
4013071903,6
4013071906,15
4013071909,3
4013071910,39
4013071911,0
4013071912,0
4013071913,57
4013071914,0
4013071915,0
4013082002,0
4013082007,0
4013082008,9
4013082009,0
4013082010,5
4013082012,0
4013082016,0
4013082017,11
4013082018,21
4013082019,0
4013082020,0
4013082021,6
4013082022,0
4013082023,0
4013082024,0
4013082025,14
4013082026,10
4013082027,0
4013082028,0
4013082203,0
4013082204,0
4013082205,0
4013082206,0
4013082207,0
4013082208,0
4013082209,0
4013082210,0
4013082211,0
4013083000,0
4013092305,92
4013092306,42
4013092307,97
4013092308,37
4013092309,137
4013092311,9
4013092312,203
4013092401,53
4013092402,29
4013092500,36
4013092600,57
4013092705,9
4013092708,19
4013092709,31
4013092710,19
4013092711,65
4013092712,25
4013092713,28
4013092715,15
4013092716,12
4013092717,5
4013092718,17
4013092719,7
4013092720,28
4013092721,0
4013092723,0
4013092724,105
4013092801,0
4013092802,13
4013092900,0
4013093001,0
4013093002,5
4013093101,5
4013093104,152
4013093105,0
4013093106,34
4013093200,14
4013103205,22
4013103206,12
4013103207,102
4013103208,11
4013103209,46
4013103210,125
4013103211,5
4013103212,41
4013103214,60
4013103215,191
4013103216,85
4013103217,153
4013103219,24
4013103220,19
4013103302,6
4013103303,209
4013103304,0
4013103305,22
4013103306,0
4013103400,5
4013103501,5
4013103502,8
4013103604,0
4013103605,42
4013103606,29
4013103607,62
4013103608,15
4013103609,0
4013103611,19
4013103612,21
4013103614,13
4013103615,226
4013103701,16
4013103702,10
4013103900,14
4013104000,39
4013104100,83
4013104202,2
4013104203,44
4013104204,30
4013104205,34
4013104206,45
4013104207,20
4013104212,20
4013104214,72
4013104215,40
4013104216,78
4013104217,361
4013104218,25
4013104219,357
4013104221,68
4013104222,40
4013104223,38
4013104224,223
4013104225,30
4013104226,45
4013104227,0
4013104301,17
4013104302,0
4013104401,98
4013104402,0
4013104501,159
4013104502,257
4013104600,157
4013104701,23
4013104702,9
4013104801,25
4013104802,79
4013104900,14
4013105002,0
4013105003,26
4013105004,41
4013105101,25
4013105102,0
4013105103,20
4013105200,0
4013105300,13
4013105400,24
4013105501,0
4013105502,20
4013105503,0
4013105601,0
4013105602,0
4013105701,0
4013105702,14
4013105800,27
4013105900,65
4013106001,53
4013106002,0
4013106003,54
4013106100,98
4013106200,35
4013106300,127
4013106400,51
4013106501,0
4013106502,23
4013106600,94
4013106701,0
4013106702,21
4013106703,22
4013106801,16
4013106802,26
4013106900,0
4013107000,13
4013107101,5
4013107102,5
4013107201,512
4013107202,0
4013107300,18
4013107400,30
4013107500,3
4013107601,0
4013107602,0
4013107700,20
4013107800,0
4013107900,0
4013108000,0
4013108100,0
4013108200,0
4013108301,0
4013108302,0
4013108400,16
4013108501,7
4013108502,0
4013108601,34
4013108602,101
4013108802,34
4013108901,0
4013108902,54
4013109001,0
4013109002,0
4013109003,147
4013109101,6
4013109102,0
4013109200,20
4013109300,6
4013109400,16
4013109500,9
4013109601,0
4013109602,10
4013109603,0
4013109604,0
4013109701,0
4013109702,0
4013109703,0
4013109704,0
4013109705,0
4013109801,0
4013109802,11
4013109900,7
4013110001,0
4013110002,0
4013110100,0
4013110400,74
4013110501,0
4013110502,0
4013110600,2
4013110701,96
4013110702,33
4013110801,0
4013110802,0
4013110901,46
4013110902,30
4013111000,0
4013111100,20
4013111201,50
4013111202,0
4013111203,0
4013111204,0
4013111300,5
4013111401,0
4013111402,7
4013111501,0
4013111502,101
4013111601,22
4013111602,37
4013111700,56
4013111800,0
4013111900,26
4013112100,10
4013112201,18
4013112202,86
4013112301,0
4013112302,8
4013112401,0
4013112402,0
4013112502,0
4013112503,0
4013112504,8
4013112505,0
4013112507,0
