hid,sample_geo,gqrtotals,gqtotals
2012000000365.00,104,1,1
2012000000469.00,600,1,1
2012000000538.00,209,1,1
2012000001178.00,206,1,1
2012000001579.00,207,1,1
2012000001714.00,803,1,1
2012000001991.00,805,1,1
2012000002136.00,119,1,1
2012000004981.00,700,1,1
2012000005612.00,900,1,1
2012000006577.00,700,1,1
2012000006916.00,400,1,1
2012000007361.00,900,1,1
2012000007473.00,900,1,1
2012000007657.00,400,1,1
2012000008594.00,800,1,1
2012000009997.00,206,1,1
2012000010700.00,700,1,1
2012000010914.00,700,1,1
2012000010996.00,805,1,1
2012000011804.00,300,1,1
2012000011849.00,120,1,1
2012000013021.00,111,1,1
2012000013053.00,700,1,1
2012000013217.00,132,1,1
2012000013831.00,805,1,1
2012000014146.00,113,1,1
2012000014395.00,124,1,1
2012000016317.00,700,1,1
2012000017882.00,205,1,1
2012000018510.00,206,1,1
2012000018912.00,805,1,1
2012000019530.00,805,1,1
2012000019849.00,204,1,1
2012000020053.00,208,1,1
2012000020310.00,134,1,1
2012000020330.00,207,1,1
2012000020541.00,500,1,1
2012000020856.00,805,1,1
2012000022338.00,134,1,1
2012000022474.00,125,1,1
2012000024471.00,118,1,1
2012000025039.00,500,1,1
2012000025398.00,207,1,1
2012000025473.00,207,1,1
2012000025805.00,134,1,1
2012000026173.00,206,1,1
2012000026332.00,805,1,1
2012000026412.00,119,1,1
2012000027579.00,130,1,1
2012000027628.00,805,1,1
2012000028284.00,805,1,1
2012000028397.00,119,1,1
2012000029043.00,600,1,1
2012000029751.00,132,1,1
2012000029769.00,103,1,1
2012000030201.00,109,1,1
2012000030539.00,134,1,1
2012000030797.00,111,1,1
2012000031438.00,400,1,1
2012000032664.00,400,1,1
2012000033004.00,805,1,1
2012000033214.00,104,1,1
2012000034426.00,805,1,1
2012000034795.00,800,1,1
2012000035564.00,124,1,1
2012000035685.00,134,1,1
2012000035789.00,134,1,1
2012000036047.00,126,1,1
2012000036511.00,114,1,1
2012000037901.00,119,1,1
2012000038960.00,132,1,1
2012000039588.00,400,1,1
2012000040313.00,805,1,1
2012000040653.00,500,1,1
2012000041306.00,109,1,1
2012000041823.00,500,1,1
2012000041894.00,205,1,1
2012000042073.00,805,1,1
2012000042381.00,805,1,1
2012000042626.00,102,1,1
2012000042702.00,118,1,1
2012000043289.00,126,1,1
2012000044633.00,900,1,1
2012000044684.00,119,1,1
2012000047510.00,127,1,1
2012000047738.00,104,1,1
2012000047767.00,133,1,1
2012000049081.00,100,1,1
2012000049104.00,500,1,1
2012000050435.00,803,1,1
2012000052825.00,109,1,1
2012000052848.00,113,1,1
2012000053196.00,202,1,1
2012000053682.00,600,1,1
2012000053897.00,113,1,1
2012000055021.00,206,1,1
2012000055244.00,126,1,1
2012000055608.00,128,1,1
2012000055986.00,805,1,1
2012000056938.00,102,1,1
2012000057117.00,600,1,1
2012000057342.00,109,1,1
2012000057568.00,300,1,1
2012000057831.00,700,1,1
2012000059967.00,805,1,1
2012000060097.00,600,1,1
2012000061115.00,207,1,1
2012000062727.00,800,1,1
2012000063402.00,805,1,1
2012000063984.00,134,1,1
2012000064883.00,805,1,1
2012000066977.00,119,1,1
2012000067293.00,113,1,1
2012000067372.00,130,1,1
2012000067679.00,206,1,1
2012000068102.00,132,1,1
2012000068115.00,800,1,1
2012000068719.00,109,1,1
2012000068990.00,207,1,1
2012000069240.00,124,1,1
2012000069422.00,110,1,1
2012000069652.00,202,1,1
2012000071550.00,129,1,1
2012000072098.00,900,1,1
2012000072240.00,119,1,1
2012000072654.00,800,1,1
2012000072792.00,800,1,1
2012000072924.00,209,1,1
2012000073210.00,104,1,1
2012000073674.00,700,1,1
2012000073736.00,205,1,1
2012000073871.00,900,1,1
2012000074072.00,300,1,1
2012000074386.00,101,1,1
2012000075043.00,208,1,1
2012000075061.00,500,1,1
2012000075751.00,900,1,1
2012000075774.00,107,1,1
2012000075949.00,134,1,1
2012000076028.00,119,1,1
2012000076526.00,700,1,1
2012000076768.00,600,1,1
2012000077798.00,118,1,1
2012000077899.00,800,1,1
2012000079050.00,126,1,1
2012000079328.00,400,1,1
2012000080190.00,109,1,1
2012000080234.00,127,1,1
2012000080246.00,300,1,1
2012000080271.00,600,1,1
2012000081069.00,119,1,1
2012000081169.00,900,1,1
2012000081376.00,201,1,1
2012000082857.00,126,1,1
2012000083280.00,900,1,1
2012000083413.00,800,1,1
2012000084357.00,805,1,1
2012000084426.00,600,1,1
2012000084547.00,113,1,1
2012000085910.00,300,1,1
2012000086215.00,205,1,1
2012000086883.00,118,1,1
2012000087217.00,207,1,1
2012000087516.00,805,1,1
2012000087568.00,805,1,1
2012000088325.00,129,1,1
2012000089048.00,126,1,1
2012000089646.00,800,1,1
2012000090182.00,805,1,1
2012000090244.00,805,1,1
2012000091199.00,204,1,1
2012000091921.00,805,1,1
2012000093148.00,300,1,1
2012000093854.00,207,1,1
2012000094719.00,500,1,1
2012000094799.00,116,1,1
2012000094900.00,103,1,1
2012000095171.00,900,1,1
2012000095415.00,115,1,1
2012000095633.00,207,1,1
2012000095664.00,805,1,1
2012000095685.00,119,1,1
2012000096265.00,400,1,1
2012000096414.00,207,1,1
2012000098001.00,110,1,1
2012000099287.00,700,1,1
2012000099382.00,206,1,1
2012000100312.00,800,1,1
2012000100463.00,134,1,1
2012000100733.00,109,1,1
2012000101002.00,400,1,1
2012000101354.00,805,1,1
2012000101738.00,105,1,1
2012000101977.00,205,1,1
2012000102651.00,113,1,1
2012000103624.00,126,1,1
2012000103721.00,118,1,1
2012000103975.00,209,1,1
2012000104000.00,700,1,1
2012000104613.00,134,1,1
2012000104676.00,205,1,1
2012000105998.00,201,1,1
2012000106406.00,700,1,1
2012000106524.00,805,1,1
2012000107275.00,700,1,1
2012000107382.00,805,1,1
2012000107829.00,118,1,1
2012000108263.00,126,1,1
2012000108886.00,900,1,1
2012000109445.00,900,1,1
2012000109486.00,800,1,1
2012000109513.00,800,1,1
2012000109780.00,128,1,1
2012000109976.00,700,1,1
2012000111422.00,900,1,1
2012000112404.00,800,1,1
2012000112439.00,109,1,1
2012000112776.00,113,1,1
2012000113961.00,400,1,1
2012000113977.00,600,1,1
2012000114133.00,130,1,1
2012000114504.00,130,1,1
2012000114840.00,900,1,1
2012000115066.00,900,1,1
2012000116399.00,209,1,1
2012000116428.00,113,1,1
2012000116796.00,201,1,1
2012000117358.00,209,1,1
2012000117641.00,205,1,1
2012000117937.00,134,1,1
2012000118511.00,134,1,1
2012000118615.00,132,1,1
2012000118833.00,805,1,1
2012000119957.00,126,1,1
2012000120138.00,206,1,1
2012000120428.00,208,1,1
2012000120751.00,600,1,1
2012000121208.00,800,1,1
2012000121222.00,700,1,1
2012000121269.00,117,1,1
2012000121346.00,109,1,1
2012000121482.00,132,1,1
2012000121961.00,134,1,1
2012000123755.00,700,1,1
2012000124292.00,805,1,1
2012000124778.00,208,1,1
2012000124842.00,202,1,1
2012000125027.00,205,1,1
2012000125355.00,207,1,1
2012000125492.00,132,1,1
2012000125571.00,600,1,1
2012000126601.00,400,1,1
2012000126919.00,202,1,1
2012000127139.00,600,1,1
2012000127247.00,600,1,1
2012000127506.00,109,1,1
2012000127552.00,805,1,1
2012000127558.00,400,1,1
2012000127987.00,201,1,1
2012000128021.00,126,1,1
2012000128964.00,500,1,1
2012000129649.00,208,1,1
2012000130260.00,102,1,1
2012000130307.00,805,1,1
2012000131293.00,132,1,1
2012000131643.00,125,1,1
2012000131669.00,207,1,1
2012000132374.00,108,1,1
2012000132689.00,123,1,1
2012000132805.00,900,1,1
2012000132941.00,700,1,1
2012000132994.00,126,1,1
2012000133451.00,122,1,1
2012000133453.00,206,1,1
2012000133640.00,805,1,1
2012000133880.00,119,1,1
2012000133962.00,400,1,1
2012000134278.00,500,1,1
2012000135155.00,207,1,1
2012000135208.00,126,1,1
2012000135916.00,700,1,1
2012000136081.00,900,1,1
2012000136140.00,102,1,1
2012000136724.00,803,1,1
2012000136800.00,700,1,1
2012000136860.00,400,1,1
2012000136915.00,400,1,1
2012000138163.00,805,1,1
2012000138322.00,205,1,1
2012000138364.00,300,1,1
2012000138976.00,130,1,1
2012000139554.00,124,1,1
2012000139878.00,805,1,1
2012000140174.00,129,1,1
2012000140635.00,805,1,1
2012000140716.00,400,1,1
2012000141609.00,807,1,1
2012000142073.00,807,1,1
2012000142216.00,128,1,1
2012000142402.00,118,1,1
2012000142490.00,119,1,1
2012000142579.00,209,1,1
2012000142805.00,205,1,1
2012000143497.00,209,1,1
2012000144159.00,124,1,1
2012000145051.00,101,1,1
2012000145435.00,900,1,1
2012000145521.00,126,1,1
2012000145957.00,132,1,1
2012000146589.00,205,1,1
2012000148159.00,126,1,1
2012000148257.00,205,1,1
2012000148537.00,126,1,1
2012000150084.00,700,1,1
2012000150435.00,700,1,1
2012000150756.00,109,1,1
2012000151009.00,300,1,1
2012000151312.00,117,1,1
2012000151557.00,207,1,1
2012000154512.00,600,1,1
2012000154976.00,129,1,1
2012000155313.00,400,1,1
2012000155390.00,800,1,1
2012000155397.00,119,1,1
2012000155443.00,800,1,1
2012000156327.00,132,1,1
2012000156490.00,118,1,1
2012000156702.00,132,1,1
2012000158446.00,900,1,1
2012000158845.00,134,1,1
2012000159321.00,805,1,1
2012000160010.00,805,1,1
2012000160874.00,800,1,1
2012000161897.00,900,1,1
2012000161954.00,208,1,1
2012000161971.00,800,1,1
2012000163017.00,805,1,1
2012000163110.00,118,1,1
2012000163472.00,118,1,1
2012000164057.00,132,1,1
2012000164545.00,113,1,1
2012000164583.00,805,1,1
2012000164671.00,805,1,1
2012000164785.00,116,1,1
2012000165806.00,805,1,1
2012000165954.00,134,1,1
2012000166870.00,207,1,1
2012000167061.00,134,1,1
2012000167460.00,109,1,1
2012000167599.00,205,1,1
2012000168532.00,400,1,1
2012000169238.00,109,1,1
2012000169258.00,900,1,1
2012000169533.00,805,1,1
2012000171003.00,700,1,1
2012000172682.00,208,1,1
2012000172982.00,500,1,1
