variable_names,hhtotals,hsize,hsize,hsize,hsize,hsize,hsize,hsize,hinc,hinc,hinc,hinc,hinc
variable_categories,1,1,2,3,4,5,6,7,1,2,3,4,5
geo,,,,,,,,,,,,,
4013010101,2070,291,1386,85,188,105,15,0,45,224,584,256,961
4013010102,2092,128,1810,101,39,0,14,0,162,202,176,238,1314
4013030401,2150,588,1422,22,65,42,11,0,162,282,367,262,1077
4013030402,1909,471,1028,201,153,34,0,22,201,294,370,229,815
4013040502,2397,994,921,203,166,77,36,0,508,624,705,169,391
4013040506,3422,1585,1726,111,0,0,0,0,301,1321,1150,336,314
4013040507,3941,2102,1733,106,0,0,0,0,465,1448,1229,298,501
4013040512,997,365,604,22,6,0,0,0,90,243,501,73,90
4013040513,1694,524,1131,39,0,0,0,0,44,421,638,274,317
4013040514,1768,706,1030,32,0,0,0,0,121,590,661,253,143
4013040515,1860,468,948,218,161,25,29,11,266,383,638,254,319
4013040516,1878,295,1200,160,73,107,43,0,74,267,660,491,386
4013040517,2584,441,1044,423,267,317,77,15,325,476,1058,371,354
4013040518,2434,423,1073,346,290,127,84,91,165,445,765,700,359
4013040519,1978,285,1236,140,130,120,27,40,93,197,488,420,780
4013040520,1405,208,492,150,335,157,38,25,37,98,372,106,792
4013040521,2038,182,466,375,701,148,114,52,28,138,465,676,731
4013040522,2559,889,1599,71,0,0,0,0,262,695,966,181,455
4013040523,1596,393,1162,41,0,0,0,0,102,274,525,240,455
4013040524,778,170,578,30,0,0,0,0,29,112,312,124,201
4013040525,1808,364,1368,76,0,0,0,0,95,283,790,228,412
4013040526,1220,390,820,10,0,0,0,0,107,180,575,150,208
4013040527,1639,331,1004,128,124,40,0,12,168,388,605,157,321
4013040528,3411,865,2405,141,0,0,0,0,159,593,1407,575,677
4013040529,1744,501,1216,27,0,0,0,0,53,423,691,298,279
4013040530,1426,332,546,197,199,87,58,7,87,261,701,184,193
4013040531,2050,855,1002,73,52,46,15,7,219,696,742,200,193
4013050603,1622,290,498,394,229,141,44,26,91,484,811,135,101
4013050604,1094,236,289,144,108,177,34,106,248,196,320,173,157
4013050605,2223,201,731,399,437,278,119,58,138,261,762,478,584
4013050606,2520,340,1016,307,584,152,102,19,160,282,600,327,1151
4013050607,2087,201,587,317,531,226,164,61,174,339,960,363,251
4013050608,2336,378,631,311,511,359,88,58,173,524,1005,314,320
4013050609,1598,366,530,259,162,164,84,33,44,298,891,213,152
4013050610,2684,281,823,521,441,438,72,108,160,349,1076,482,617
4013050611,1373,180,309,193,296,123,253,19,59,131,723,308,152
4013050701,1670,299,395,404,317,169,62,24,193,351,704,212,210
4013050702,1599,429,367,279,290,144,23,67,469,312,534,188,96
4013060801,2111,713,723,189,119,139,149,79,571,671,661,146,62
4013060802,747,98,241,96,183,46,44,39,41,137,314,158,97
4013060901,1421,248,374,215,255,200,47,82,94,403,460,249,215
4013060902,839,164,130,135,140,92,131,47,180,223,328,63,45
4013060903,1419,237,268,186,274,249,128,77,93,456,646,102,122
4013060904,1048,193,212,229,211,109,59,35,105,236,469,136,102
4013061009,3504,713,1474,470,497,200,77,73,232,264,1295,540,1173
4013061010,1980,608,796,162,256,136,18,4,158,301,526,284,711
4013061011,1778,290,341,229,497,290,96,35,34,262,611,349,522
4013061012,2804,638,859,575,415,196,31,90,290,305,837,435,937
4013061013,1855,422,422,294,236,288,58,135,29,298,714,267,547
4013061014,2160,443,767,445,317,103,67,18,170,433,776,285,496
4013061015,1859,231,579,531,322,137,25,34,91,88,890,330,460
4013061016,1731,225,507,365,322,210,67,35,91,73,505,203,859
4013061017,0,0,0,0,0,0,0,0,0,0,0,0,0
4013061018,2548,740,1808,0,0,0,0,0,168,473,828,504,575
4013061019,1172,190,325,222,238,83,53,61,36,132,551,147,306
4013061020,1182,135,398,278,200,94,61,16,36,65,287,227,567
4013061021,521,32,118,78,116,82,66,29,7,54,119,127,214
4013061022,3056,394,956,686,378,516,23,103,244,322,1212,680,598
4013061023,3499,668,806,668,709,499,102,47,169,311,1240,727,1052
4013061024,641,144,131,170,58,103,22,13,28,115,284,123,91
4013061025,2760,296,700,429,602,592,82,59,88,171,1035,705,761
4013061026,1765,266,525,286,370,264,37,17,151,283,784,234,313
4013061027,1918,449,878,264,177,88,40,22,71,619,672,275,281
4013061028,1100,344,342,176,146,67,18,7,122,229,370,153,226
4013061029,1942,541,838,306,195,55,0,7,195,390,863,174,320
