unique_housing_id,geo,unique_id_in_geo,entity,gqrtotals,gqtotals,hhrtotals,hhtotals,hid,hinc,hsize,rhsize,rinc,sample_geo
0,4013010101,1,household,0.0,0.0,1.0,1.0,2.01200000307e+12,5.0,3.0,3.0,5.0,105
1,4013010101,2,household,0.0,0.0,1.0,1.0,2.012000005e+12,5.0,2.0,2.0,5.0,100
2,4013010101,3,household,0.0,0.0,1.0,1.0,2.01200000952e+12,3.0,3.0,3.0,3.0,805
3,4013010101,4,household,0.0,0.0,1.0,1.0,2.0120000096e+12,5.0,2.0,2.0,5.0,803
4,4013010101,5,household,0.0,0.0,1.0,1.0,2.01200001238e+12,5.0,2.0,2.0,5.0,111
5,4013010101,6,household,0.0,0.0,1.0,1.0,2.01200001841e+12,5.0,4.0,4.0,5.0,131
6,4013010101,7,household,0.0,0.0,1.0,1.0,2.01200001846e+12,3.0,2.0,2.0,3.0,600
7,4013010101,8,household,0.0,0.0,1.0,1.0,2.01200001876e+12,5.0,2.0,2.0,5.0,300
8,4013010101,9,household,0.0,0.0,1.0,1.0,2.01200002082e+12,3.0,2.0,2.0,3.0,131
9,4013010101,10,household,0.0,0.0,1.0,1.0,2.01200002088e+12,5.0,2.0,2.0,5.0,107
10,4013010101,11,household,0.0,0.0,1.0,1.0,2.01200002178e+12,3.0,2.0,2.0,3.0,101
11,4013010101,12,household,0.0,0.0,1.0,1.0,2.0120000251e+12,5.0,3.0,3.0,5.0,102
12,4013010101,13,household,0.0,0.0,1.0,1.0,2.01200002634e+12,3.0,1.0,1.0,3.0,127
13,4013010101,14,household,0.0,0.0,1.0,1.0,2.01200003514e+12,1.0,2.0,2.0,1.0,124
14,4013010101,15,household,0.0,0.0,1.0,1.0,2.01200003822e+12,3.0,2.0,2.0,3.0,206
15,4013010101,16,household,0.0,0.0,1.0,1.0,2.01200004124e+12,5.0,2.0,2.0,5.0,100
16,4013010101,17,household,0.0,0.0,1.0,1.0,2.01200004218e+12,5.0,2.0,2.0,5.0,102
17,4013010101,18,household,0.0,0.0,1.0,1.0,2.01200004356e+12,5.0,1.0,1.0,5.0,805
18,4013010101,19,household,0.0,0.0,1.0,1.0,2.01200004695e+12,5.0,2.0,2.0,5.0,800
19,4013010101,20,household,0.0,0.0,1.0,1.0,2.01200004916e+12,3.0,1.0,1.0,3.0,900
20,4013010101,21,household,0.0,0.0,1.0,1.0,2.01200005664e+12,5.0,6.0,6.0,5.0,107
21,4013010101,22,household,0.0,0.0,1.0,1.0,2.01200005819e+12,3.0,2.0,2.0,3.0,112
22,4013010101,23,household,0.0,0.0,1.0,1.0,2.01200006154e+12,4.0,6.0,6.0,4.0,100
23,4013010101,24,household,0.0,0.0,1.0,1.0,2.01200006390e+12,5.0,2.0,2.0,5.0,134
24,4013010101,25,household,0.0,0.0,1.0,1.0,2.01200006390e+12,5.0,2.0,2.0,5.0,134
25,4013010101,26,household,0.0,0.0,1.0,1.0,2.0120000656e+12,3.0,1.0,1.0,3.0,300
26,4013010101,27,household,0.0,0.0,1.0,1.0,2.01200006657e+12,5.0,2.0,2.0,5.0,204
27,4013010101,28,household,0.0,0.0,1.0,1.0,2.01200007022e+12,5.0,3.0,3.0,5.0,300
28,4013010101,29,household,0.0,0.0,1.0,1.0,2.01200008024e+12,2.0,2.0,2.0,2.0,202
29,4013010101,30,household,0.0,0.0,1.0,1.0,2.01200008227e+12,3.0,2.0,2.0,3.0,105
30,4013010101,31,household,0.0,0.0,1.0,1.0,2.01200008944e+12,5.0,2.0,2.0,5.0,105
31,4013010101,32,household,0.0,0.0,1.0,1.0,2.01200009168e+12,5.0,2.0,2.0,5.0,803
32,4013010101,33,household,0.0,0.0,1.0,1.0,2.0120001017e+12,5.0,1.0,1.0,5.0,112
33,4013010101,34,household,0.0,0.0,1.0,1.0,2.01200010623e+12,5.0,2.0,2.0,5.0,126
34,4013010101,35,household,0.0,0.0,1.0,1.0,2.01200010683e+12,5.0,2.0,2.0,5.0,300
35,4013010101,36,household,0.0,0.0,1.0,1.0,2.01200010785e+12,3.0,2.0,2.0,3.0,202
36,4013010101,37,household,0.0,0.0,1.0,1.0,2.01200011455e+12,5.0,2.0,2.0,5.0,117
37,4013010101,38,household,0.0,0.0,1.0,1.0,2.01200012011e+12,5.0,2.0,2.0,5.0,203
38,4013010101,39,household,0.0,0.0,1.0,1.0,2.01200012013e+12,5.0,1.0,1.0,5.0,120
39,4013010101,40,household,0.0,0.0,1.0,1.0,2.01200012402e+12,4.0,5.0,5.0,4.0,109
40,4013010101,41,household,0.0,0.0,1.0,1.0,2.01200012542e+12,5.0,4.0,4.0,5.0,127
41,4013010101,42,household,0.0,0.0,1.0,1.0,2.0120001343e+12,5.0,5.0,5.0,5.0,201
42,4013010101,43,household,0.0,0.0,1.0,1.0,2.01200013472e+12,5.0,2.0,2.0,5.0,500
43,4013010101,44,household,0.0,0.0,1.0,1.0,2.01200013514e+12,5.0,2.0,2.0,5.0,110
44,4013010101,45,household,0.0,0.0,1.0,1.0,2.01200013869e+12,3.0,2.0,2.0,3.0,112
45,4013010101,46,household,0.0,0.0,1.0,1.0,2.01200014409e+12,5.0,2.0,2.0,5.0,116
46,4013010101,47,household,0.0,0.0,1.0,1.0,2.01200015729e+12,5.0,4.0,4.0,5.0,209
47,4013010101,48,household,0.0,0.0,1.0,1.0,2.01200015763e+12,3.0,2.0,2.0,3.0,500
48,4013010101,49,household,0.0,0.0,1.0,1.0,2.01200015836e+12,3.0,3.0,3.0,3.0,201
49,4013010101,50,household,0.0,0.0,1.0,1.0,2.01200016552e+12,4.0,4.0,4.0,4.0,204
50,4013010101,51,household,0.0,0.0,1.0,1.0,2.01200016752e+12,3.0,2.0,2.0,3.0,205
51,4013010101,52,household,0.0,0.0,1.0,1.0,2.01200017866e+12,4.0,2.0,2.0,4.0,300
52,4013010101,53,household,0.0,0.0,1.0,1.0,2.01200018019e+12,5.0,2.0,2.0,5.0,500
53,4013010101,54,household,0.0,0.0,1.0,1.0,2.01200018308e+12,2.0,2.0,2.0,2.0,110
54,4013010101,55,household,0.0,0.0,1.0,1.0,2.01200018528e+12,5.0,2.0,2.0,5.0,110
55,4013010101,56,household,0.0,0.0,1.0,1.0,2.0120001872e+12,2.0,1.0,1.0,2.0,134
56,4013010101,57,household,0.0,0.0,1.0,1.0,2.01200019164e+12,1.0,3.0,3.0,1.0,118
57,4013010101,58,household,0.0,0.0,1.0,1.0,2.01200019648e+12,5.0,2.0,2.0,5.0,105
58,4013010101,59,household,0.0,0.0,1.0,1.0,2.01200019788e+12,5.0,2.0,2.0,5.0,107
59,4013010101,60,household,0.0,0.0,1.0,1.0,2.01200020644e+12,5.0,2.0,2.0,5.0,128
60,4013010101,61,household,0.0,0.0,1.0,1.0,2.01200020862e+12,3.0,2.0,2.0,3.0,115
61,4013010101,62,household,0.0,0.0,1.0,1.0,2.01200020870e+12,3.0,2.0,2.0,3.0,126
62,4013010101,63,household,0.0,0.0,1.0,1.0,2.01200021404e+12,5.0,2.0,2.0,5.0,100
63,4013010101,64,household,0.0,0.0,1.0,1.0,2.01200021557e+12,5.0,1.0,1.0,5.0,207
64,4013010101,65,household,0.0,0.0,1.0,1.0,2.01200021931e+12,3.0,2.0,2.0,3.0,300
65,4013010101,66,household,0.0,0.0,1.0,1.0,2.01200021931e+12,3.0,2.0,2.0,3.0,300
66,4013010101,67,household,0.0,0.0,1.0,1.0,2.0120002224e+12,5.0,2.0,2.0,5.0,108
67,4013010101,68,household,0.0,0.0,1.0,1.0,2.01200022334e+12,5.0,2.0,2.0,5.0,700
68,4013010101,69,household,0.0,0.0,1.0,1.0,2.0120002253e+12,5.0,1.0,1.0,5.0,206
69,4013010101,70,household,0.0,0.0,1.0,1.0,2.01200023074e+12,5.0,4.0,4.0,5.0,205
70,4013010101,71,household,0.0,0.0,1.0,1.0,2.01200023358e+12,5.0,2.0,2.0,5.0,400
