variable_names,ptotals,psex,psex,page,page,page,page,page,page,page,page,page,page,empl,empl,empl,empl
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9,10,1,2,3,4
geo,,,,,,,,,,,,,,,,,
4013010101,4786,2410,2376,319,302,165,91,186,504,634,631,1132,822,1598,35,2532,621
4013010102,4440,2282,2158,30,76,101,24,69,155,584,1338,1679,384,1698,75,2561,106
4013030401,4189,2241,1948,52,190,86,25,246,69,718,766,1369,668,1427,33,2487,242
4013030402,4277,2089,2188,148,307,189,128,176,338,686,1225,703,377,1777,192,1853,455
4013040502,5050,2287,2763,135,601,222,143,553,298,498,910,733,957,2070,2,2242,736
4013040506,5515,2473,3042,0,0,0,0,18,20,388,851,1795,2443,951,118,4446,0
4013040507,6303,2682,3621,0,0,0,0,46,101,183,960,1521,3492,653,28,5622,0
4013040512,1703,758,945,0,0,6,8,0,0,28,144,451,1066,139,9,1555,0
4013040513,2955,1400,1555,0,0,0,19,0,0,134,343,956,1503,294,8,2653,0
4013040514,2936,1255,1681,0,0,0,13,0,0,66,356,1156,1345,361,22,2553,0
4013040515,4681,2674,2007,98,468,147,292,334,497,475,810,1006,554,1884,96,2135,566
4013040516,4420,2164,2256,115,483,136,27,282,338,429,995,1331,284,1219,146,2457,598
4013040517,7556,3574,3982,545,967,417,399,939,1063,928,980,927,391,2750,477,2817,1512
4013040518,6953,3361,3592,673,1111,198,243,965,804,757,1078,886,238,2874,89,2206,1784
4013040519,4911,2285,2626,187,731,154,75,151,481,307,1190,1292,343,1409,133,2451,918
4013040520,4369,2065,2304,201,1074,330,119,267,877,689,433,279,100,2073,72,949,1275
4013040521,7245,3669,3576,884,1662,332,316,1453,1275,645,402,201,75,3535,106,1058,2546
4013040522,4360,1921,2439,0,0,0,0,0,0,68,491,1463,2338,253,23,4084,0
4013040523,2872,1456,1416,0,9,0,0,0,18,111,588,1426,720,471,60,2332,9
4013040524,1433,706,727,0,0,0,0,19,7,27,257,794,329,209,20,1204,0
4013040525,3370,1676,1694,0,0,0,0,0,34,142,481,1875,838,394,33,2943,0
4013040526,2065,970,1095,0,0,0,0,15,10,57,285,932,766,296,23,1746,0
4013040527,3674,1727,1947,150,306,141,39,471,364,342,405,706,750,1148,117,1953,456
4013040528,6239,2798,3441,0,0,0,0,0,68,122,773,3196,2080,676,13,5550,0
4013040529,3059,1385,1674,0,0,0,0,0,23,53,490,1525,968,366,25,2668,0
4013040530,3880,1957,1923,178,664,124,231,456,555,467,558,438,209,1714,188,1136,842
4013040531,3747,1664,2083,121,261,84,152,270,207,337,385,728,1202,1168,49,2148,382
4013050603,4935,2648,2287,344,686,263,361,747,714,616,574,478,152,1745,296,1864,1030
4013050604,3735,1978,1757,300,863,286,238,328,642,423,289,222,144,1306,215,1051,1163
4013050605,7542,3862,3680,793,1492,410,276,926,1098,907,792,600,248,2794,191,2272,2285
4013050606,7462,3717,3745,412,1506,609,224,462,1222,1495,937,477,118,3409,240,1895,1918
4013050607,7540,3390,4150,641,1529,579,451,890,1297,968,613,354,218,2957,139,2274,2170
4013050608,8028,3664,4364,659,1892,537,472,1032,1079,941,578,411,427,3208,328,1941,2551
4013050609,4730,2342,2388,239,949,274,214,788,562,444,512,566,182,2083,226,1233,1188
4013050610,9417,4662,4755,688,2009,807,416,1413,1353,1101,941,403,286,4484,141,2095,2697
4013050611,5168,2592,2576,473,1018,432,370,887,709,554,366,164,195,2242,115,1320,1491
4013050701,5455,2763,2692,451,1043,331,352,854,741,706,478,248,251,2390,98,1473,1494
