unique_person_id,geo,unique_id_in_geo,pid,sample_geo,ptotals,rptotals,empl,rempl,page,rpage,psex,rpsex,hid,entity
0,4013010101,1,1,105,1,1,1,1,7,7,1,1,2.01200000307e+12,person
1,4013010101,1,2,105,1,1,3,3,7,7,2,2,2.01200000307e+12,person
2,4013010101,1,3,105,1,1,4,4,2,2,2,2,2.01200000307e+12,person
3,4013010101,2,1,100,1,1,1,1,6,6,1,1,2.012000005e+12,person
4,4013010101,2,2,100,1,1,1,1,6,6,2,2,2.012000005e+12,person
5,4013010101,3,1,805,1,1,1,1,10,10,1,1,2.01200000952e+12,person
6,4013010101,3,2,805,1,1,3,3,10,10,2,2,2.01200000952e+12,person
7,4013010101,3,3,805,1,1,3,3,7,7,1,1,2.01200000952e+12,person
8,4013010101,4,1,803,1,1,1,1,7,7,2,2,2.0120000096e+12,person
9,4013010101,4,2,803,1,1,3,3,8,8,1,1,2.0120000096e+12,person
10,4013010101,5,1,111,1,1,3,3,9,9,1,1,2.01200001238e+12,person
11,4013010101,5,2,111,1,1,3,3,9,9,2,2,2.01200001238e+12,person
12,4013010101,6,1,131,1,1,1,1,6,6,1,1,2.01200001841e+12,person
13,4013010101,6,2,131,1,1,1,1,5,5,2,2,2.01200001841e+12,person
14,4013010101,6,3,131,1,1,4,4,1,1,2,2,2.01200001841e+12,person
15,4013010101,6,4,131,1,1,4,4,1,1,1,1,2.01200001841e+12,person
16,4013010101,7,1,600,1,1,3,3,10,10,1,1,2.01200001846e+12,person
17,4013010101,7,2,600,1,1,3,3,10,10,2,2,2.01200001846e+12,person
18,4013010101,8,1,300,1,1,3,3,9,9,2,2,2.01200001876e+12,person
19,4013010101,8,2,300,1,1,3,3,9,9,1,1,2.01200001876e+12,person
20,4013010101,9,1,131,1,1,3,3,8,8,1,1,2.01200002082e+12,person
21,4013010101,9,2,131,1,1,3,3,8,8,2,2,2.01200002082e+12,person
22,4013010101,10,1,107,1,1,1,1,8,8,1,1,2.01200002088e+12,person
23,4013010101,10,2,107,1,1,3,3,8,8,2,2,2.01200002088e+12,person
24,4013010101,11,1,101,1,1,3,3,9,9,1,1,2.01200002178e+12,person
25,4013010101,11,2,101,1,1,3,3,9,9,2,2,2.01200002178e+12,person
26,4013010101,12,1,102,1,1,1,1,7,7,1,1,2.0120000251e+12,person
27,4013010101,12,2,102,1,1,1,1,7,7,2,2,2.0120000251e+12,person
28,4013010101,12,3,102,1,1,1,1,4,4,2,2,2.0120000251e+12,person
29,4013010101,13,1,127,1,1,3,3,10,10,2,2,2.01200002634e+12,person
30,4013010101,14,1,124,1,1,3,3,6,6,1,1,2.01200003514e+12,person
31,4013010101,14,2,124,1,1,4,4,2,2,2,2,2.01200003514e+12,person
32,4013010101,15,1,206,1,1,3,3,9,9,1,1,2.01200003822e+12,person
33,4013010101,15,2,206,1,1,3,3,9,9,2,2,2.01200003822e+12,person
34,4013010101,16,1,100,1,1,1,1,9,9,1,1,2.01200004124e+12,person
35,4013010101,16,2,100,1,1,1,1,9,9,2,2,2.01200004124e+12,person
36,4013010101,17,1,102,1,1,1,1,7,7,1,1,2.01200004218e+12,person
37,4013010101,17,2,102,1,1,3,3,6,6,2,2,2.01200004218e+12,person
38,4013010101,18,1,805,1,1,3,3,10,10,1,1,2.01200004356e+12,person
39,4013010101,19,1,800,1,1,3,3,8,8,2,2,2.01200004695e+12,person
40,4013010101,19,2,800,1,1,1,1,9,9,1,1,2.01200004695e+12,person
41,4013010101,20,1,900,1,1,1,1,6,6,1,1,2.01200004916e+12,person
42,4013010101,21,1,107,1,1,3,3,7,7,2,2,2.01200005664e+12,person
43,4013010101,21,2,107,1,1,3,3,10,10,1,1,2.01200005664e+12,person
44,4013010101,21,3,107,1,1,3,3,3,3,2,2,2.01200005664e+12,person
45,4013010101,21,4,107,1,1,3,3,10,10,2,2,2.01200005664e+12,person
46,4013010101,21,5,107,1,1,3,3,10,10,2,2,2.01200005664e+12,person
47,4013010101,21,6,107,1,1,3,3,10,10,1,1,2.01200005664e+12,person
48,4013010101,22,1,112,1,1,1,1,7,7,2,2,2.01200005819e+12,person
49,4013010101,22,2,112,1,1,3,3,7,7,1,1,2.01200005819e+12,person
50,4013010101,23,1,100,1,1,1,1,6,6,1,1,2.01200006154e+12,person
51,4013010101,23,2,100,1,1,1,1,6,6,2,2,2.01200006154e+12,person
52,4013010101,23,3,100,1,1,3,3,3,3,1,1,2.01200006154e+12,person
53,4013010101,23,4,100,1,1,4,4,2,2,1,1,2.01200006154e+12,person
54,4013010101,23,5,100,1,1,4,4,2,2,1,1,2.01200006154e+12,person
55,4013010101,23,6,100,1,1,4,4,2,2,2,2,2.01200006154e+12,person
56,4013010101,24,1,134,1,1,3,3,10,10,2,2,2.01200006390e+12,person
57,4013010101,24,2,134,1,1,3,3,9,9,1,1,2.01200006390e+12,person
58,4013010101,25,1,134,1,1,3,3,10,10,2,2,2.01200006390e+12,person
59,4013010101,25,2,134,1,1,3,3,9,9,1,1,2.01200006390e+12,person
60,4013010101,26,1,300,1,1,3,3,10,10,2,2,2.0120000656e+12,person
61,4013010101,27,1,204,1,1,3,3,9,9,1,1,2.01200006657e+12,person
62,4013010101,27,2,204,1,1,3,3,9,9,2,2,2.01200006657e+12,person
63,4013010101,28,1,300,1,1,3,3,9,9,1,1,2.01200007022e+12,person
64,4013010101,28,2,300,1,1,3,3,10,10,2,2,2.01200007022e+12,person
65,4013010101,28,3,300,1,1,3,3,9,9,2,2,2.01200007022e+12,person
66,4013010101,29,1,202,1,1,3,3,9,9,1,1,2.01200008024e+12,person
67,4013010101,29,2,202,1,1,3,3,8,8,2,2,2.01200008024e+12,person
68,4013010101,30,1,105,1,1,3,3,10,10,1,1,2.01200008227e+12,person
69,4013010101,30,2,105,1,1,3,3,10,10,2,2,2.01200008227e+12,person
70,4013010101,31,1,105,1,1,1,1,7,7,2,2,2.01200008944e+12,person
71,4013010101,31,2,105,1,1,1,1,7,7,1,1,2.01200008944e+12,person
72,4013010101,32,1,803,1,1,3,3,8,8,1,1,2.01200009168e+12,person
73,4013010101,32,2,803,1,1,3,3,8,8,2,2,2.01200009168e+12,person
74,4013010101,33,1,112,1,1,1,1,8,8,2,2,2.0120001017e+12,person
75,4013010101,34,1,126,1,1,3,3,9,9,1,1,2.01200010623e+12,person
76,4013010101,34,2,126,1,1,3,3,9,9,2,2,2.01200010623e+12,person
77,4013010101,35,1,300,1,1,3,3,9,9,1,1,2.01200010683e+12,person
78,4013010101,35,2,300,1,1,1,1,9,9,2,2,2.01200010683e+12,person
79,4013010101,36,1,202,1,1,3,3,9,9,1,1,2.01200010785e+12,person
80,4013010101,36,2,202,1,1,3,3,9,9,2,2,2.01200010785e+12,person
81,4013010101,37,1,117,1,1,1,1,8,8,1,1,2.01200011455e+12,person
82,4013010101,37,2,117,1,1,1,1,8,8,1,1,2.01200011455e+12,person
