variable_names,hhrtotals,rhsize,rhsize,rhsize,rhsize,rhsize,rhsize,rhsize,rinc,rinc,rinc,rinc,rinc
variable_categories,1,1,2,3,4,5,6,7,1,2,3,4,5
region,,,,,,,,,,,,,
1,1144732,329473,376283,165324,138494,74252,36062,24844,143126,243231,380293,135267,242815
2,46627,13668,25304,3119,2504,1251,521,260,3798,10556,16644,6758,8871
3,2591,863,856,297,231,171,82,91,533,836,837,137,248
4,5905,929,2373,878,823,626,153,123,650,874,1794,805,1782
5,852,155,108,113,140,110,64,162,212,234,278,50,78
6,20806,3201,6176,3528,3906,2371,1045,579,1909,3527,8386,3193,3791
7,143015,28954,47776,23275,24696,11400,4541,2373,7890,17097,40294,22367,55367
8,97150,18549,39327,15465,14855,5698,2301,955,4976,10341,27551,14048,40234
9,4162,419,3196,186,227,105,29,0,207,426,760,494,2275
