variable_names,rptotals,rpsex,rpsex,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rempl,rempl,rempl,rempl
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9,10,1,2,3,4
region,,,,,,,,,,,,,,,,,
1,3185704,1576885,1608819,216964,486554,175337,243279,476288,415768,406138,348504,238248,178624,1472300,114159,895727,703518
2,99296,46907,52389,3287,8337,2291,2076,6239,7040,7253,14165,25617,22991,26907,1857,58908,11624
3,7272,3627,3645,505,1185,373,405,1110,712,1030,829,611,512,2213,407,2962,1690
4,23238,14392,8846,1364,2788,1217,1426,3618,3719,3720,2914,1777,695,7490,402,11194,4152
5,4205,1966,2239,501,939,292,485,640,405,459,280,161,43,1144,394,1227,1440
6,69036,34199,34837,5396,13797,4800,3736,9057,10207,8812,6598,4237,2396,28585,2111,19147,19193
7,420470,207753,212717,32534,76539,22140,20921,56140,65840,56908,42225,29114,18109,202839,10866,97692,109073
8,270102,131396,138706,15250,43451,14615,12247,28574,38177,43102,36071,23950,14665,130652,6397,74352,58701
9,9226,4692,4534,349,378,266,115,255,659,1218,1969,2811,1206,3296,110,5093,727
